0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:07 +0800] "GET /OrderTakeOutFood/SDisplayFoodBystoreServlet HTTP/1.1" 200 412
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:07 +0800] "GET /OrderTakeOutFood/StoreDisplayCategoryServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:14 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 18982
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:14 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:14 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:14 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:16 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:19 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 18982
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:19 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:19 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:19 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:21 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:22 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 18982
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:22 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:22 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:22 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:25 +0800] "POST /OrderTakeOutFood/DisplayOrderContentServlet HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:26 +0800] "GET /OrderTakeOutFood/dp_order.jsp HTTP/1.1" 200 18982
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:26 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [24/Jun/2018:15:44:26 +0800] "POST /OrderTakeOutFood/StoreDisplayOrderServlet HTTP/1.1" 200 580
